StartTime: 2023-06-01 00:45:53.634
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	Voltage(v)	hx	hy	hz
0x50	 00:45:53.634	0.0254	0.0181	0.9976	3.9063	-0.6104	-1.5869	2.1863	-1.7029	-49.4989	46.02	4.02	0	0	0
0x50	 00:45:53.634	0.0215	0.0156	0.9946	1.8311	-0.2441	-2.6855	2.2083	-1.7029	-49.5209	46.01	4.02	0	0	0
0x50	 00:45:53.634	0.0215	0.0156	0.9946	1.8311	-0.2441	-2.6855	2.2192	-1.7029	-49.5483	46.01	4.02	0	0	0
0x50	 00:45:53.634	0.0151	0.0103	0.9951	-1.4038	-2.5635	-4.4556	2.2137	-1.7194	-49.5813	46.01	4.02	0	0	0
0x50	 00:45:53.634	0.0151	0.0103	0.9951	-1.4038	-2.5635	-4.4556	2.1973	-1.7413	-49.6252	46.01	4.02	0	0	0
0x50	 00:45:53.634	0.0229	-0.0034	0.9922	-9.3994	-6.1035	-8.0566	2.1368	-1.7798	-49.6857	46.01	4.02	0	0	0
0x50	 00:45:53.714	0.0229	-0.0034	0.9922	-9.3994	-6.1035	-8.0566	2.0380	-1.8347	-49.7681	46.01	4.02	0	0	0
0x50	 00:45:53.714	0.0273	-0.0103	0.9917	-19.7754	-9.3994	-11.9629	1.8896	-1.9061	-49.8724	46.02	4.02	0	0	0
0x50	 00:45:53.714	0.0273	-0.0103	0.9917	-19.7754	-9.3994	-11.9629	1.6864	-1.9940	-49.9933	46.02	4.02	0	0	0
0x50	 00:45:53.714	0.0464	-0.0059	1.0020	-24.8413	-9.5215	-13.7329	1.4612	-2.0819	-50.1196	46.02	4.02	0	0	0
0x50	 00:45:53.714	0.0464	-0.0059	1.0020	-24.8413	-9.5215	-13.7329	1.2140	-2.1698	-50.2570	46.02	4.02	0	0	0
0x50	 00:45:53.714	0.0449	-0.0103	0.9907	-24.1699	-2.5635	-9.4604	0.9668	-2.2247	-50.3778	46.01	4.02	0	0	0
0x50	 00:45:53.714	0.0449	-0.0103	0.9907	-24.1699	-2.5635	-9.4604	0.7251	-2.2467	-50.4712	46.01	4.02	0	0	0
0x50	 00:45:53.808	0.0093	-0.0142	0.9927	-20.4468	9.3994	-11.1084	0.5054	-2.2083	-50.5701	46.01	4.02	0	0	0
0x50	 00:45:53.808	0.0093	-0.0142	0.9927	-20.4468	9.3994	-11.1084	0.3021	-2.1094	-50.6799	46.01	4.02	0	0	0
0x50	 00:45:53.808	-0.0142	0.0078	0.9858	-18.2495	21.1182	-28.7476	0.1154	-1.9556	-50.8777	46.01	4.02	0	0	0
0x50	 00:45:53.808	-0.0142	0.0078	0.9858	-18.2495	21.1182	-28.7476	-0.0494	-1.7413	-51.1633	46.01	4.02	0	0	0
0x50	 00:45:53.808	-0.0195	0.0347	1.0332	-13.9160	11.4136	-45.7764	-0.1978	-1.5765	-51.5369	46.01	4.02	0	0	0
0x50	 00:45:53.808	-0.0195	0.0347	1.0332	-13.9160	11.4136	-45.7764	-0.3241	-1.4612	-51.9928	46.01	4.02	0	0	0
