address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	Voltage(v)	hx	hy	hz
0x50	 21:12:24.243	-0.0034	0.0479	1.0088	-1.3428	1.1597	0.0000	0.5988	-0.3186	-120.5859	47.62	3.59	0	0	0
0x50	 21:12:24.243	-0.0034	0.0479	1.0088	-1.3428	1.1597	0.0000	0.5988	-0.3076	-120.5859	47.62	3.59	0	0	0
0x50	 21:12:24.243	0.0078	0.0288	1.0068	-0.6104	0.6104	0.0000	0.5988	-0.3021	-120.5859	47.62	3.59	0	0	0
0x50	 21:12:24.243	0.0078	0.0288	1.0068	-0.6104	0.6104	0.0000	0.6042	-0.2966	-120.5859	47.62	3.59	0	0	0
0x50	 21:12:24.243	0.0010	0.0337	1.0034	-1.3428	-0.1221	-0.0610	0.5988	-0.2966	-120.5859	47.61	3.59	0	0	0
0x50	 21:12:24.243	0.0010	0.0337	1.0034	-1.3428	-0.1221	-0.0610	0.5933	-0.2966	-120.5859	47.61	3.59	0	0	0
0x50	 21:12:24.322	0.0078	0.0332	0.9985	-1.0376	-0.9155	0.3662	0.5933	-0.3076	-120.5804	47.62	3.59	0	0	0
0x50	 21:12:24.322	0.0078	0.0332	0.9985	-1.0376	-0.9155	0.3662	0.5933	-0.3186	-120.5750	47.62	3.59	0	0	0
0x50	 21:12:24.322	0.0020	0.0356	1.0024	-0.4272	-1.5259	-1.1597	0.5988	-0.3296	-120.5914	47.63	3.59	0	0	0
0x50	 21:12:24.322	0.0020	0.0356	1.0024	-0.4272	-1.5259	-1.1597	0.5988	-0.3461	-120.6024	47.63	3.59	0	0	0
0x50	 21:12:24.322	0.0063	0.0366	0.9990	1.0376	-1.1597	-0.6714	0.6207	-0.3571	-120.6079	47.62	3.59	0	0	0
0x50	 21:12:24.322	0.0063	0.0366	0.9990	1.0376	-1.1597	-0.6714	0.6372	-0.3680	-120.6134	47.62	3.59	0	0	0
