m,a,,,,,a_avg
140.43,0.753758646,0.759812878,0.777544717,,,0.763705414
183.28,0.689448051,0.698533202,0.683652653,,,0.690544636
225.54,0.614430059,0.640464757,0.640352274,,,0.63174903
338.96,0.475113002,0.476724423,0.478984506,,,0.476940644
404.06,0.423313887,0.432044753,0.416069009,,,0.423809216
458.37,0.394845819,0.394845819,0.392529854,,,0.394073831
532.45,0.368787728,0.351227832,0.355408431,,,0.358474664
129.29,0.802431354,0.791292353,0.797754326,,,0.797159344
0,1.184468144,1.20580232,1.182967368,,,1.191079277
258.87,0.594700341,0.587315906,0.589568104,,,0.590528117
311.51,0.515471965,0.538715075,0.54019857,,,0.53146187
504.62,0.371613541,0.373088352,0.375698421,,,0.373466771
593.53,0.347088417,0.330282191,0.321478461,,,0.33294969
561.17,0.358113835,0.339545278,0.339865425,,,0.345841513
